season,holiday,workingday,weather,temp,atemp,humidity,windspeed,year,month,day,hour,count
3,0,1,1,27.88,31.82,83,6.0032,2011,7,6,5,35
3,0,0,1,36.9,40.91,39,19.9995,2012,8,4,16,450
3,0,1,1,32.8,35.605,41,16.9979,2012,7,11,15,276
2,0,0,2,14.76,18.18,93,7.0015,2011,4,10,4,5
4,0,0,1,13.12,15.15,45,16.9979,2011,11,19,10,200
1,0,1,1,13.94,16.665,25,8.9981,2012,2,13,19,263
4,0,1,3,13.94,14.395,87,43.0006,2011,12,7,20,26
3,1,0,1,35.26,39.395,41,15.0013,2012,7,4,12,494
4,0,1,2,25.42,27.275,94,7.0015,2012,10,2,22,240
3,0,1,1,29.52,34.09,62,0.0,2012,7,17,4,7
1,0,1,1,9.84,9.85,65,27.9993,2011,2,8,7,100
3,0,1,1,32.8,34.85,31,15.0013,2012,8,16,13,300
1,0,1,1,16.4,20.455,43,19.0012,2012,2,15,13,170
1,1,0,3,6.56,7.575,80,12.998,2011,1,17,21,27
4,0,1,1,22.96,26.515,83,7.0015,2012,10,19,18,233
3,0,0,1,32.8,36.365,46,19.9995,2012,8,11,16,531
1,0,1,2,24.6,31.06,40,30.0026,2012,3,8,19,416
4,0,1,1,22.96,26.515,46,8.9981,2011,11,8,16,289
1,0,1,2,10.66,13.635,48,8.9981,2012,2,10,10,124
2,0,0,1,27.06,31.06,36,8.9981,2011,6,4,11,369
2,0,1,2,23.78,27.275,83,7.0015,2012,5,2,10,175
3,0,1,1,31.98,35.605,49,12.998,2012,7,10,17,872
3,0,1,1,31.16,33.335,35,16.9979,2011,8,11,11,187
3,0,1,1,34.44,38.635,41,0.0,2011,7,7,12,171
2,0,0,2,13.94,17.425,81,6.0032,2012,4,1,5,18
2,0,0,1,27.88,31.82,61,11.0014,2012,6,9,23,230
2,0,1,1,14.76,16.665,40,22.0028,2012,4,6,10,238
3,0,1,1,31.98,34.09,29,6.0032,2011,8,11,18,571
2,0,0,1,30.34,34.09,62,8.9981,2011,6,11,9,230
1,0,1,2,9.02,11.365,82,12.998,2011,1,18,17,125
3,0,1,1,33.62,38.635,52,8.9981,2012,7,6,21,300
2,0,1,1,17.22,21.21,67,11.0014,2011,4,13,21,117
4,0,1,3,18.86,22.725,94,0.0,2011,11,16,7,137
1,0,1,1,9.02,11.365,51,11.0014,2012,3,5,3,1
4,0,1,1,17.22,21.21,44,7.0015,2012,11,9,18,496
4,0,0,1,15.58,19.695,66,11.0014,2011,10,16,6,10
3,0,1,2,26.24,30.305,65,15.0013,2012,9,17,17,842
2,0,0,1,18.86,22.725,82,7.0015,2012,6,3,6,22
3,0,1,1,32.8,37.12,52,19.0012,2011,8,18,12,173
1,0,1,3,18.86,22.725,82,12.998,2012,3,13,6,113
3,0,0,1,27.06,31.06,41,0.0,2012,9,16,17,570
4,0,1,1,23.78,27.275,56,6.0032,2012,12,3,13,321
1,1,0,1,8.2,9.09,55,22.0028,2012,1,16,12,185
3,0,0,1,26.24,30.305,69,7.0015,2011,9,11,19,333
2,0,1,1,21.32,25.0,83,11.0014,2011,5,13,1,20
4,0,1,3,16.4,20.455,82,0.0,2011,10,3,20,204
2,0,1,3,22.14,25.76,68,19.0012,2011,4,12,13,106
4,1,0,1,22.96,26.515,64,15.0013,2012,11,12,12,419
2,0,0,1,18.86,22.725,31,8.9981,2011,4,3,14,349
3,0,0,1,32.8,40.15,66,0.0,2012,7,8,7,52
4,0,1,2,13.12,16.665,57,7.0015,2011,12,12,15,132
2,0,1,2,22.14,25.76,45,23.9994,2011,4,4,10,90
1,0,1,1,13.12,15.91,57,12.998,2011,2,17,4,4
2,0,1,1,22.96,26.515,64,6.0032,2011,5,11,11,141
3,0,0,2,27.88,31.82,83,26.0027,2011,8,13,21,167
3,0,1,1,25.42,29.545,73,12.998,2011,7,15,1,20
4,0,0,1,16.4,20.455,50,11.0014,2012,12,15,14,426
3,0,0,1,29.52,35.605,84,15.0013,2012,7,15,19,312
